Scenario Name,Scenario Text,Question Label,Question Text,A,B,C,D,E,Correct,Explanation,NBD,DOM,PHEN,ASD,QT,DIFF
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1A,Which engineer discovered critical ethical flaws in the AI tool?,A. Jamie,B. Morgan,C. Pat,D. Reese,E. None of these,B,Morgan's test uncovered the ethical issues.,0,SOC,,PI,FC,easy
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1B,Why are team members reluctant to share the limitations they found?,A.They signed NDAs with competitors,B.They fear appearing overly cautious,C.They forgot the details,D.Management forbade negative comments,E. None of these,B,Social pressure / fear of seeming weak.,0,SOC,,PI,FC,easy
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1C,"In the meeting, management asks for a vote on:",A. Project budget,B. Tool name,C. Readiness for public deployment,D. Hiring a new engineer,E. None of these choices,C,Management's question is whether the team believes the tool is ready to ship.,0,SOC,,PI,FC,easy
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1D,"Based on the current state of events, what collective action is the team most likely to take?",A.Move the AI to deployment,B.Declare the AI unusable,C.Implement significant improvements before launch,D.Discard the AI entirely,E.Fail to reach a collective decision,A,"Fear of looking ""negative,"" deadline pressure, and pluralistic ignorance push everyone to assume others are comfortable shipping, so the group rubberstamps deployment despite hidden doubts.",1,SOC,PI,PI,MB,hard
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6A,Who secretly observes Zoe's first move of the watch?,A. Carlos,B. Priya,C. Marcus,D. Dana,E. Zoe herself,B,Priya sees Zoe move the watch to the shelf.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6B,Where is the real watch at the end of the story?,A. Ceramic dish,B. Display shelf,C. Drawer beneath the TV,D. Marcus's backpack,E. Unknown,C,Zoe hides the real watch in the TVstand drawer.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6C,Zoe places a fake watch on the display shelf.,A. True,B. False,C. Only Priya does,D. Only Marcus does,E. Not stated,A,The narrative states she replaces it with a nearly identical fake.,0,OBJ,,,FC,easy
6. WatchSwap at the Airbnb,"Five coworkersCarlos, Priya, Zoe, Marcus, and Danareturn to their Airbnb apartment in a coastal town after dining out. Carlos heads immediately upstairs to change clothes. Priya, Zoe, and Marcus watch Dana set an expensive vintage watch into a ceramic dish by the entryway. Thus, everyone except Carlos knows the watch is in the dish. After Carlos comes back downstairs, he and Marcus leave to pick up coffee for everyone. While they are gone, Zoe takes the watch from the dish and places it in a glass display shelf in the lounge. Priya secretly observes Zoe from the hallway, but Zoe believes Priya is busy in another room and doesn't notice her watching. Dana then calls Priya to help prepare some snacks in the kitchen, and Priya leaves, missing what happens next. Alone again, Zoe grows nervous and moves the watch once more, this time placing it in a drawer beneath the TV stand. To further hide her actions, Zoe retrieves a nearly identical fake watch from her handbag and puts it on the display shelf where she previously placed the real watch. Neither Priya nor Dana sees this second action. Priya finishes helping Dana, believing the real watch is still on the display shelf (since she missed Zoe's second move). Carlos and Marcus return from their coffee run. As Marcus steps inside, he sees the ceramic dish empty but doesn't know where the watch currently is, nor does he know who moved it. Before Marcus can say anything, Zoe quickly approaches Dana and says, ""I moved your watch to the display shelf. Priya has no idea I moved it."" Marcus overhears this and notices Zoe seems tense.",Q6D,Where does Marcus believe Dana thinks Priya believes the real watch is located?,A. On the display shelf,B. In the drawer under the TV,C. Stolen,D. Still in the ceramic dish,E. Priya knows about the fake,D,"Dana assumes Priya never saw any move, so Priya must think the watch remains in the dish.",3,OBJ,DEC,,MB,hard
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7A,Olivia's compliment about the pancakes was intended to be:,A. Genuine,B. Sarcastic,C. Neutral,D. Critical,E. Confused,B,Olivia's remark was sarcastic to spare feelings.,0,SOC,IRN,,FC,easy
7. Sarcastic Pancakes,"Four friendsEmma, Jake, Olivia, and Ryanare gathered for brunch at Emma's countryside cottage. Emma has made avocado pancakes for Jake, Olivia, and Ryan. Unfortunately, the pancakes are quite bitter, and no one enjoys them. Olivia takes a bite and dramatically says, ""Wow Emma, these pancakes are absolutely amazing! You should open a restaurant!"" with an awkward grin. Olivia means this sarcastically, as she finds the pancakes awful. However, Emma misinterprets Olivia's sarcasm as genuine praise. Jake chuckles softly, amused at Emma's misunderstanding. Ryan, who arrived late, joins the table just after Olivia's sarcastic comment. He hasn't tasted the pancakes yet and missed Olivia's earlier remark. When Emma leaves the dining area briefly to fetch some juice, Ryan notices Olivia grimacing at Jake. Ryan asks, ""So, how are the pancakes?"" Olivia whispers back that they're terrible but says she praised them to spare Emma's feelings. Ryan now realizes Olivia's earlier comment was sarcastic but remains uncertain whether Emma took it seriously. Emma returns, cheerfully telling Olivia, ""I'll send you the pancake recipe later!"" Jake overhears this, further amused by Emma's continued obliviousness. Ryan, however, isn't sure if Emma truly believes the compliment or is just maintaining politeness.

Later, after brunch, Olivia confides in Jake: ""I really hope Emma didn't notice I was being sarcastic. I didn't mean to hurt her feelings."" Jake reassures, ""Don't worry, Emma definitely thought you were sincere."" Ryan misses this exchange, busy examining Emma's bookshelf in the next room. Shortly afterward, Olivia overhears Emma quietly asking Jake, ""Do you think Olivia genuinely liked the pancakes or not?"" Ryan doesn't hear this, and neither Emma nor Jake realizes Olivia overheard them. As everyone prepares to leave, Ryan is still unsure about Emma's actual understanding of Olivia's comment but sees Emma smiling warmly and packing leftover pancakes for Olivia, assuming everything is fine. When Olivia heads out, Emma playfully whispers, ""Next time, I'll double the avocado!"" Olivia blushes nervously and quickly gets in her car. Jake notices this last exchange, but Ryan does not.",Q7B,Who misinterprets the sarcasm as real praise?,A. Jake,B. Ryan,C. Emma,D. Olivia,E. None of them,C,Emma believes the compliment is sincere.,1,SOC,IRN,,FC,easy
